Survived,Class,Type,Count
Survived,1st class,Women,1
Survived,2nd class,Women,1
Survived,3rd class,Women,1
Survived,1st class,Women,1
Perished,1st class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Survived,3rd class,Women,1
Perished,3rd class,Men,1
Survived,3rd class,Women,1
Survived,1st class,Women,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Women,1
Survived,2nd class,Women,1
Perished,3rd class,Men,1
Survived,2nd class,Men,1
Perished,3rd class,Women,1
Survived,3rd class,Women,1
Perished,2nd class,Men,1
Survived,2nd class,Men,1
Survived,3rd class,Women,1
Survived,1st class,Men,1
Perished,3rd class,Women,1
Survived,3rd class,Women,1
Perished,3rd class,Men,1
Perished,1st class,Men,1
Survived,3rd class,Women,1
Perished,3rd class,Men,1
Perished,1st class,Men,1
Survived,1st class,Women,1
Survived,3rd class,Women,1
Perished,2nd class,Men,1
Perished,1st class,Men,1
Perished,1st class,Men,1
Survived,3rd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Women,1
Survived,3rd class,Women,1
Perished,3rd class,Women,1
Perished,2nd class,Women,1
Perished,3rd class,Men,1
Survived,2nd class,Women,1
Survived,3rd class,Women,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Survived,3rd class,Women,1
Perished,3rd class,Men,1
Perished,3rd class,Women,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Survived,1st class,Women,1
Survived,2nd class,Women,1
Perished,1st class,Men,1
Survived,1st class,Men,1
Survived,2nd class,Women,1
Perished,3rd class,Men,1
Survived,2nd class,Women,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Survived,1st class,Women,1
Perished,1st class,Men,1
Perished,3rd class,Men,1
Perished,1st class,Men,1
Survived,3rd class,Men,1
Survived,2nd class,Women,1
Perished,3rd class,Men,1
Survived,3rd class,Women,1
Perished,3rd class,Men,1
Perished,2nd class,Men,1
Perished,3rd class,Women,1
Perished,2nd class,Men,1
Perished,3rd class,Men,1
Survived,3rd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Survived,2nd class,Men,1
Survived,3rd class,Women,1
Perished,3rd class,Men,1
Survived,3rd class,Men,1
Survived,3rd class,Women,1
Perished,1st class,Men,1
Survived,2nd class,Women,1
Survived,3rd class,Women,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Survived,1st class,Women,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,1st class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,1st class,Men,1
Survived,1st class,Men,1
Survived,2nd class,Women,1
Perished,2nd class,Men,1
Perished,3rd class,Women,1
Perished,3rd class,Men,1
Perished,1st class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Survived,3rd class,Women,1
Survived,3rd class,Men,1
Perished,3rd class,Men,1
Survived,3rd class,Women,1
Perished,1st class,Men,1
Perished,3rd class,Women,1
Perished,3rd class,Men,1
Perished,3rd class,Women,1
Perished,3rd class,Women,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,2nd class,Men,1
Perished,1st class,Men,1
Perished,3rd class,Women,1
Perished,2nd class,Men,1
Perished,3rd class,Men,1
Perished,2nd class,Men,1
Survived,2nd class,Women,1
Perished,1st class,Men,1
Survived,3rd class,Men,1
Perished,3rd class,Men,1
Survived,3rd class,Men,1
Survived,3rd class,Women,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Women,1
Survived,2nd class,Women,1
Perished,2nd class,Men,1
Perished,2nd class,Men,1
Survived,1st class,Women,1
Perished,1st class,Men,1
Perished,3rd class,Men,1
Perished,1st class,Men,1
Perished,3rd class,Women,1
Survived,3rd class,Women,1
Survived,3rd class,Women,1
Perished,3rd class,Men,1
Perished,2nd class,Men,1
Perished,2nd class,Men,1
Survived,3rd class,Men,1
Perished,3rd class,Women,1
Perished,2nd class,Men,1
Perished,2nd class,Men,1
Perished,2nd class,Men,1
Survived,1st class,Women,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,1st class,Men,1
Survived,3rd class,Women,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Survived,2nd class,Women,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Survived,3rd class,Men,1
Survived,1st class,Women,1
Perished,3rd class,Women,1
Perished,1st class,Men,1
Perished,3rd class,Men,1
Perished,1st class,Men,1
Perished,3rd class,Men,1
Survived,3rd class,Women,1
Perished,3rd class,Men,1
Perished,1st class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,1st class,Women,1
Perished,2nd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Women,1
Perished,2nd class,Men,1
Perished,3rd class,Men,1
Survived,2nd class,Men,1
Survived,3rd class,Women,1
Perished,1st class,Men,1
Survived,3rd class,Women,1
Survived,1st class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Survived,2nd class,Women,1
Perished,2nd class,Men,1
Survived,3rd class,Women,1
Survived,2nd class,Men,1
Survived,1st class,Women,1
Survived,1st class,Women,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Survived,3rd class,Women,1
Perished,2nd class,Women,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Survived,3rd class,Men,1
Perished,3rd class,Women,1
Perished,3rd class,Men,1
Survived,3rd class,Men,1
Survived,3rd class,Women,1
Survived,1st class,Men,1
Perished,3rd class,Men,1
Survived,2nd class,Women,1
Perished,3rd class,Men,1
Perished,2nd class,Men,1
Perished,3rd class,Men,1
Survived,1st class,Women,1
Survived,3rd class,Women,1
Perished,2nd class,Men,1
Survived,1st class,Women,1
Perished,2nd class,Men,1
Survived,3rd class,Men,1
Perished,2nd class,Men,1
Perished,3rd class,Men,1
Perished,3rd class,Men,1
Survived,1st class,Men,1
Perished,3rd class,Men,1
Survived,2nd class,Men,1
Perished,3rd class,Men,1
