id,lat,lon,user,uid,version,changeset,timestamp
16174445,18.5203062,73.8543185,Srihari Thalla,2815653,37,47074993,2017-03-22T18:40:19Z
245644773,18.4422101,73.7605638,singleton,1157969,10,15126770,2013-02-22T18:06:45Z
245644879,18.4234929,73.8598417,singleton,1157969,7,16752222,2013-06-29T13:52:11Z
245644993,18.439518,73.7529071,norky,8821,3,104664,2008-02-11T20:37:10Z
245645059,18.4479332,73.7618105,norky,8821,3,104664,2008-02-11T20:57:03Z
245645174,18.45321,73.7529859,Pradnya shende,3106807,4,34605961,2015-10-13T08:30:47Z
245645277,18.4520539,73.8292972,Mettal,515232,5,46340847,2017-02-23T15:01:10Z
245645345,18.4531972,73.8235235,Rahul Maindargi,568021,4,11235222,2012-04-09T09:28:27Z
245645411,18.4595981,73.8103298,singleton,1157969,7,24121286,2014-07-13T14:21:30Z
245645484,18.4671772,73.7652683,mapusdotin,3754246,4,41256518,2016-08-05T10:21:00Z
245645549,18.4691607,73.7867477,AbhishekAJ,691473,5,11738424,2012-05-29T14:15:46Z
245645650,18.4784663,73.7753562,Mettal,515232,4,46337279,2017-02-23T12:41:04Z
245645748,18.4841132,73.7771758,Mettal,515232,4,46337279,2017-02-23T12:41:04Z
245645889,18.4978457,73.8953765,singleton,1157969,7,15708840,2013-04-13T05:54:37Z
245646048,18.5012106,73.7853574,norky,8821,4,112915,2008-02-13T17:16:24Z
245646263,18.5063593,73.9126293,singleton,1157969,7,15547660,2013-03-30T06:54:29Z
245646410,18.5053094,73.8233974,singleton,1157969,7,14448788,2012-12-29T10:33:16Z
245646497,18.5134786,73.7825606,singleton,1157969,5,16945010,2013-07-14T06:51:41Z
245646582,18.5144177,73.7824698,singleton,1157969,4,16945010,2013-07-14T06:51:41Z
245646663,18.5168158,73.7813009,singleton,1157969,4,16945010,2013-07-14T06:51:41Z
245646738,18.5134946,73.8858161,singleton,1157969,5,19194747,2013-11-30T13:48:58Z
245646844,18.5153076,73.8563097,singleton,1157969,7,15796353,2013-04-20T11:49:18Z
245646965,18.5185471,73.8562104,singleton,1157969,14,19934172,2014-01-11T12:51:45Z
245647044,18.5214834,73.8844278,cdavila,26599,7,9489620,2011-10-06T21:24:58Z
245647111,18.5221662,73.8762791,singleton,1157969,4,19194747,2013-11-30T13:48:59Z
245647203,18.5226448,73.8899033,singleton,1157969,4,19194747,2013-11-30T13:48:59Z
245647285,18.5302449,73.8497457,singleton,1157969,8,15205394,2013-03-01T07:13:06Z
245647360,18.529834,73.8597002,singleton,1157969,9,15146875,2013-02-24T11:51:12Z
245647470,18.5285996,73.8761875,singleton,1157969,4,15656742,2013-04-08T16:51:44Z
245647550,18.5301263,73.8792559,singleton,1157969,4,15630146,2013-04-06T10:00:30Z
245647720,18.5456632,73.8170874,singleton,1157969,8,16947441,2013-07-14T10:41:53Z
245647821,18.5271429,73.7758985,Rahul Maindargi,568021,4,11424721,2012-04-26T15:48:17Z
245647882,18.5435088,73.8616031,singleton,1157969,4,18630921,2013-10-31T09:05:06Z
245647985,18.5525084,73.8033676,singleton,1157969,9,18087963,2013-09-29T08:05:37Z
245648079,18.5576503,73.8090481,singleton,1157969,6,20524692,2014-02-12T15:50:17Z
245648203,18.5500986,73.8938741,singleton,1157969,8,22132477,2014-05-04T18:50:20Z
245648369,18.5547048,73.8902205,singleton,1157969,5,18630921,2013-10-31T09:05:06Z
245648512,18.5694307,73.8093563,Mettal,515232,5,46493058,2017-03-01T12:35:42Z
245648837,18.5720704,73.9242636,norky,8821,3,147615,2008-02-18T14:59:59Z
245649492,18.602455,73.7957825,singleton,1157969,4,19358592,2013-12-09T13:01:47Z
245649896,18.6246271,73.7445752,norky,8821,3,104664,2008-02-11T21:12:30Z
245650203,18.6782964,73.7453032,singleton,1157969,2,18605548,2013-10-29T17:56:21Z
245650402,18.7062206,73.6844027,singleton,1157969,2,15491441,2013-03-25T13:17:59Z
245650771,18.7324853,73.6484352,singleton,1157969,2,15491441,2013-03-25T13:18:01Z
245650934,18.7505541,73.6144739,singleton,1157969,3,15491441,2013-03-25T13:18:01Z
246822317,18.4522377,73.8010521,norky,8821,3,120839,2008-02-14T15:33:09Z
246822347,18.4472305,73.7751484,norky,8821,3,120839,2008-02-14T15:33:05Z
246829765,18.4032389,73.8554329,singleton,1157969,5,16752222,2013-06-29T13:52:12Z
247258943,18.4483565,73.8682744,singleton,1157969,4,20193252,2014-01-25T13:20:46Z
247259676,18.4786575,73.831942,singleton,1157969,4,15428160,2013-03-20T07:10:15Z
247267005,18.3955886,73.6851792,singleton,1157969,8,15126770,2013-02-22T18:06:46Z
247267718,18.4439029,73.7602054,norky,8821,1,104664,2008-02-11T20:57:03Z
247443561,18.4731343,73.7840411,singleton,1157969,2,19627252,2013-12-25T09:52:31Z
247446333,18.4657596,73.7679166,norky,8821,1,112915,2008-02-13T17:35:18Z
247636946,18.5296213,73.8541619,singleton,1157969,2,15758727,2013-04-17T06:21:51Z
247660151,18.5061965,73.8816915,singleton,1157969,2,19194747,2013-11-30T13:49:00Z
247660187,18.4987685,73.8655839,norky,8821,1,120839,2008-02-14T16:59:15Z
247660219,18.4895839,73.8374333,norky,8821,1,120839,2008-02-14T16:59:16Z
247667200,18.5278184,73.8733497,singleton,1157969,3,15948543,2013-05-02T16:09:01Z
247739731,18.5154979,73.8756535,singleton,1157969,2,15721926,2013-04-14T09:02:20Z
247740233,18.5292956,73.8982666,singleton,1157969,2,15639048,2013-04-07T11:36:48Z
247742459,18.5751964,73.8381723,norky,8821,1,126607,2008-02-15T13:20:52Z
247742944,18.5871152,73.8286451,norky,8821,1,126607,2008-02-15T13:22:53Z
247743205,18.605242,73.8100757,singleton,1157969,2,15944437,2013-05-02T10:14:13Z
247743337,18.5763354,73.7834123,norky,8821,1,126607,2008-02-15T13:27:42Z
247743367,18.5795491,73.7538436,norky,8821,1,126607,2008-02-15T13:27:42Z
247743397,18.5650262,73.7183526,norky,8821,1,126607,2008-02-15T13:27:42Z
247743427,18.5435853,73.7028173,sandesh,26547,3,408604,2008-03-27T21:27:38Z
247743458,18.5384994,73.6788705,norky,8821,1,126607,2008-02-15T13:27:42Z
248155876,18.5337385,73.8338466,norky,8821,1,147615,2008-02-18T10:52:03Z
248156396,18.5048774,73.8391505,singleton,1157969,5,18601450,2013-10-29T13:24:46Z
248156443,18.5089975,73.8388161,norky,8821,1,147615,2008-02-18T11:07:47Z
248156656,18.4873531,73.8272362,Rahul Maindargi,568021,2,12290715,2012-07-18T18:54:56Z
248156922,18.4665061,73.7994027,norky,8821,1,147615,2008-02-18T11:13:20Z
248156954,18.4603594,73.7761082,norky,8821,1,147615,2008-02-18T11:13:20Z
248158651,18.4997934,73.8507385,singleton,1157969,4,18601450,2013-10-29T13:24:47Z
248158698,18.4855258,73.852954,singleton,1157969,4,18601450,2013-10-29T13:24:48Z
248160316,18.4642825,73.8647482,singleton,1157969,4,15539214,2013-03-29T14:26:55Z
248160904,18.5715837,73.873222,norky,8821,1,147615,2008-02-18T12:03:56Z
248160934,18.5353009,73.8634373,norky,8821,1,147615,2008-02-18T12:03:56Z
248161703,18.5540843,73.874372,singleton,1157969,4,20105350,2014-01-20T15:16:47Z
248167328,18.4893272,74.0278279,singleton,1157969,3,18997537,2013-11-19T16:56:50Z
248170959,18.5001675,73.8838275,singleton,1157969,2,20844752,2014-03-01T13:10:59Z
248174336,18.5785937,73.9727121,singleton,1157969,4,22132477,2014-05-04T18:50:22Z
248177429,18.5842415,73.9086682,norky,8821,1,147615,2008-02-18T15:18:13Z
248177550,18.5785778,73.9040609,singleton,1157969,3,18632986,2013-10-31T11:33:09Z
248178889,18.583833,73.8633833,norky,8821,1,147615,2008-02-18T15:40:59Z
248180477,18.6749278,73.7397527,norky,8821,1,147615,2008-02-18T16:05:53Z
248185600,18.6589262,73.7560486,norky,8821,1,148278,2008-02-18T17:26:45Z
248186360,18.6264295,73.8057497,singleton,1157969,7,18279129,2013-10-10T11:10:46Z
248353538,18.6309105,73.8504526,singleton,1157969,2,15462618,2013-03-23T07:51:17Z
248389748,18.7351796,73.9465104,norky,8821,1,154669,2008-02-19T11:48:23Z
248390327,18.6789713,73.8993894,norky,8821,1,154669,2008-02-19T11:51:51Z
248395525,18.4809443,73.8621524,singleton,1157969,3,15538589,2013-03-29T13:44:04Z
248424502,18.512177,73.9078352,singleton,1157969,2,19935071,2014-01-11T13:49:21Z
248424534,18.4978171,73.9299351,norky,8821,1,154948,2008-02-19T14:58:02Z
248434667,18.5196317,73.8681493,singleton,1157969,4,15662399,2013-04-09T06:39:01Z
248436600,18.520125,73.8721934,singleton,1157969,2,15662399,2013-04-09T06:39:01Z
249562851,18.514868,73.9090723,singleton,1157969,2,15582239,2013-04-02T14:22:58Z
249562883,18.5003558,73.9284529,singleton,1157969,2,15582239,2013-04-02T14:22:59Z
