id,key,value,type
16174445,capital,5,regular
16174445,is_in,India,regular
16174445,name,Pune,regular
16174445,eo,Puneo,name
16174445,gu,પુના,name
16174445,hi,पुणे,name
16174445,ja,プネー,name
16174445,kn,ಪುಣೆ,name
16174445,ko,푸네,name
16174445,lt,Puna,name
16174445,ml,പൂണെ,name
16174445,mr,पुणे,name
16174445,pl,Pune,name
16174445,ru,Пуна,name
16174445,ta,புனே,name
16174445,te,పూణే,name
16174445,zh,浦那,name
16174445,en,Poona,old_name
16174445,place,city,regular
16174445,cca,a,place
16174445,population,3115431,regular
16174445,postal_code,411001,regular
16174445,source,http://en.wikipedia.org/wiki/Pune,regular
16174445,wikidata,Q1538,regular
16174445,wikipedia,en:Pune,regular
245644773,source,AND,regular
245644879,source,AND,regular
245644993,source,AND,regular
245645059,source,AND,regular
245645174,source,AND,regular
245645277,source,AND,regular
245645345,source,AND,regular
245645411,source,AND,regular
245645484,source,AND,regular
245645549,source,AND,regular
245645650,source,AND,regular
245645748,source,AND,regular
245645889,source,AND,regular
245646048,source,AND,regular
245646263,highway,traffic_signals,regular
245646410,source,AND,regular
245646497,source,AND,regular
245646582,source,AND,regular
245646663,source,AND,regular
245646738,source,AND,regular
245646844,source,AND,regular
245646965,highway,traffic_signals,regular
245647044,source,AND,regular
245647111,source,AND,regular
245647203,source,AND,regular
245647285,source,AND,regular
245647285,highway,traffic_signals,regular
245647360,source,AND,regular
245647470,source,AND,regular
245647550,source,AND,regular
245647720,source,AND,regular
245647821,source,AND,regular
245647882,source,AND,regular
245647985,source,AND,regular
245648079,source,AND,regular
245648203,source,AND,regular
245648369,source,AND,regular
245648512,source,AND,regular
245648837,source,AND,regular
245649492,source,AND,regular
245649896,source,AND,regular
245650203,source,AND,regular
245650402,source,AND,regular
245650771,source,AND,regular
245650934,source,AND,regular
247660187,created_by,JOSM,regular
247660219,created_by,JOSM,regular
280430691,amenity,post_box,regular
280430691,created_by,Potlatch 0.10,regular
283152697,name,McDonald's,regular
283152697,amenity,fast_food,regular
283152697,cuisine,burger,regular
315806090,ref,15,regular
315806090,highway,motorway_junction,regular
343302811,name,Pune University Teachers Quarters,regular
343302811,place,locality,regular
531363969,name,Khadki,regular
531363969,old_name,Kirkee,regular
531363969,place,town,regular
531363969,wikidata,Q2234392,regular
531363969,wikipedia,en:Khadki,regular
670359140,railway,buffer_stop,regular
671463284,name,West End,regular
671463284,amenity,cinema,regular
675628669,name,National War Memorial Southern Command,regular
675628669,historic,memorial,regular
761948537,name,Symbiosis Nursery School,regular
761948537,amenity,school,regular
865842105,name,Patio's,regular
865842105,amenity,cafe,regular
1065897611,name,Sai Chowk Rickshaw Stand,regular
1065897611,amenity,taxi,regular
1068774759,name,Dr. Nitin Joglekar's Clinic,regular
1068774759,amenity,hospital,regular
1223055442,name,McDonald's,regular
1223055442,amenity,fast_food,regular
1223055442,cuisine,american,regular
1223055442,smoking,no,regular
1223055442,takeaway,yes,regular
1223055442,city,Pune,addr
1223055442,state,Maharashtra,addr
1223055442,street,Vitthal Rao Shivarkar Marg,addr
1223055442,country,IN,addr
1223055442,drive_through,no,regular
1223055442,internet_access,no,regular
1223055442,outdoor_seating,no,regular
1271226856,name,ICICI Bank ATM,regular
1271226856,amenity,atm,regular
1271226856,operator,ICICI Bank ATM,regular
1397074458,highway,traffic_signals,regular
1406889756,barrier,gate,regular
1407021502,source,AND,regular
1416042242,city,Pune,addr
1416042242,postcode,411006,addr
1416042242,street,Deccan College Road,addr
1416042242,amenity,place_of_worship,regular
1416042242,name,Tarkeshwar,regular
1416042242,mr,तारकेश्वर,name
1416042242,religion,hindu,regular
1430544721,name,Jagtap Dairy Chowk,regular
1430544721,place,locality,regular
1449774606,highway,traffic_signals,regular
1534465625,name,Deccan Gymkhana Police Chowki,regular
1534465625,source,local,regular
1534465625,amenity,police,regular
1534465625,mr,डेक्कन जिमखाना पोलीस चौकी,name
1645591842,source,AND,regular
1666439286,amenity,atm,regular
1666439286,operator,Union Bank of India,regular
1781323314,highway,traffic_signals,regular
1829975077,name,Indian Oil,regular
1829975077,amenity,fuel,regular
1839836666,name,Kolpana Flour Mill,regular
1839836666,man_made,watermill,regular
2084531465,street,spine road,addr
2084531465,housenumber,D 202,addr
2086912281,highway,traffic_signals,regular
2087084466,source,AND,regular
2096194478,source,AND,regular
2165445287,barrier,gate,regular
2172702452,name,PCCOE,regular
2172702452,amenity,college,regular
2172702452,street,Sector no. 26,addr
2181434119,natural,tree,regular
2183543082,amenity,post_box,regular
2183569903,atm,yes,regular
2183569903,name,Bank Of India,regular
2183569903,amenity,bank,regular
2185649271,highway,traffic_signals,regular
2204241509,source,AND,regular
2222378911,source,AND,regular
2222378941,source,AND,regular
2236844165,highway,traffic_signals,regular
2242380194,power,tower,regular
2242380307,power,tower,regular
2242380393,power,tower,regular
2250561570,power,tower,regular
2254875941,railway,buffer_stop,regular
2254876382,railway,buffer_stop,regular
2254876486,railway,buffer_stop,regular
2254876691,railway,level_crossing,regular
2258420211,man_made,water_tower,regular
2262753994,highway,traffic_signals,regular
2263018409,name,The Flour Works,regular
2263018409,amenity,restaurant,regular
2263018409,cuisine,international,regular
2263018409,website,http://theflourworks.com/,regular
2263018409,street,North Avenue,addr
2263018409,postcode,411006,addr
2263018409,housename,Nirvana Complex,addr
2265580060,name,Tulsi Banglow,regular
2265580060,city,Pune,addr
2265580060,street,Patwardhan Baug Path,addr
2265580060,postcode,411004,addr
2265580060,housenumber,"Tulsi Banglow,",addr
2270270792,train,yes,regular
2270270792,public_transport,stop_position,regular
2273735906,name,Barbeque Nation,regular
2273735906,phone,02060600002,regular
2273735906,amenity,restaurant,regular
2273735906,cuisine,barbecue,regular
2273735906,mr,बार्बेक्यू नेशन,name
2273735906,website,http://barbeque-nation.com/,regular
2273735906,wheelchair,limited,regular
2273735906,street,JM Road,addr
2273735906,postcode,411004,addr
2273735906,opening_hours,"Mo-Su 12:00-15:00,19:00-23:00",regular
2273735906,housename,Deccan Mall,addr
2276710439,source,AND,regular
2280623429,man_made,water_tower,regular
2304486056,name,Shri Mahadev Mandir,regular
2304486056,amenity,place_of_worship,regular
2304486056,building,yes,regular
2304486056,religion,hindu,regular
2304486056,city,Pune,addr
2304486056,postcode,411028,addr
2304486056,housename,Mahadev Mandir,addr
2304486056,housenumber,Kale Borate Nagar,addr
2308947646,power,tower,regular
2308947676,power,tower,regular
2308947706,power,tower,regular
2308947736,power,tower,regular
2308947770,power,tower,regular
2308947808,power,tower,regular
2308947863,power,tower,regular
2308947903,power,tower,regular
2308947940,power,tower,regular
2308947970,power,tower,regular
2308948000,power,tower,regular
2308948030,power,tower,regular
2308948060,power,tower,regular
2308948093,power,tower,regular
2308948123,power,tower,regular
2308948183,power,tower,regular
2308948213,power,tower,regular
2308948243,power,tower,regular
2308948273,power,tower,regular
2308948303,power,tower,regular
2308948335,power,tower,regular
2308948368,power,tower,regular
2308948401,power,tower,regular
2308948435,power,tower,regular
2308948467,power,tower,regular
2308948584,power,tower,regular
2308948584,Mitarbeiter,111.510 (2012) [1],regular
2308948683,power,tower,regular
2308948759,power,tower,regular
2308948800,power,tower,regular
2308948840,power,tower,regular
2308948871,power,tower,regular
2308948905,power,tower,regular
2308948939,power,tower,regular
2308948972,power,tower,regular
2308949002,power,tower,regular
2308949080,power,tower,regular
2308949117,power,tower,regular
2308949150,power,tower,regular
2308949186,power,tower,regular
2308949227,power,tower,regular
2308949260,power,tower,regular
2308949295,power,tower,regular
2308949326,power,tower,regular
2308949359,power,tower,regular
2308949394,power,tower,regular
2308949427,power,tower,regular
2308949467,power,tower,regular
2308949503,power,tower,regular
2308949560,power,tower,regular
2308949607,power,tower,regular
2308949660,power,tower,regular
2308949707,power,tower,regular
2308949741,power,tower,regular
2308949816,power,tower,regular
2308949899,power,tower,regular
2309471438,power,tower,regular
2309471510,power,tower,regular
2309471549,power,tower,regular
2309471588,power,tower,regular
2309471636,power,tower,regular
2309471750,power,tower,regular
