id,user,uid,version,changeset,timestamp
22840866,singleton,1157969,6,18061927,2013-09-27T13:46:37Z
22841041,singleton,1157969,6,19194747,2013-11-30T13:48:46Z
22841173,singleton,1157969,18,22446085,2014-05-20T13:33:41Z
22841315,Mettal,515232,23,46902281,2017-03-16T15:57:19Z
22841645,abhay16,5323217,15,46328054,2017-02-23T06:54:28Z
22841860,Heinz_V,91490,10,44976834,2017-01-07T11:42:06Z
22950636,Mettal,515232,15,46898678,2017-03-16T13:44:40Z
22975824,singleton,1157969,15,18532001,2013-10-25T08:49:40Z
23017403,harishk,2907712,12,32557758,2015-07-11T05:05:10Z
23027952,abhay16,5323217,13,46336474,2017-02-23T12:11:18Z
25954547,singleton,1157969,10,19110287,2013-11-25T14:13:40Z
27850903,singleton,1157969,2,15845544,2013-04-24T07:22:42Z
28723896,Oberaffe,56597,3,39604244,2016-05-27T13:21:43Z
31013602,singleton,1157969,7,22338099,2014-05-14T17:37:48Z
41447019,singleton,1157969,5,19935071,2014-01-11T13:49:18Z
41851528,singleton,1157969,3,15727340,2013-04-14T17:17:06Z
42708545,singleton,1157969,16,18129128,2013-10-01T15:29:38Z
49830976,singleton,1157969,5,35323994,2015-11-15T09:57:46Z
51163504,singleton,1157969,2,18105329,2013-09-30T07:37:50Z
52755579,nirvanareborn,217627,2,7713222,2011-03-30T07:12:30Z
52875949,singleton,1157969,9,18087963,2013-09-29T08:05:33Z
53086860,abhay16,5323217,28,46336960,2017-02-23T12:28:40Z
53092822,mapusdotin,3754246,5,41344203,2016-08-09T12:20:35Z
53153975,singleton,1157969,4,20844752,2014-03-01T13:10:55Z
53201365,singleton,1157969,6,15861127,2013-04-25T13:46:30Z
53202962,singleton,1157969,5,22252275,2014-05-10T15:24:25Z
53349598,singleton,1157969,10,35785681,2015-12-06T13:28:56Z
53370636,singleton,1157969,3,20843813,2014-03-01T12:07:50Z
53572189,singleton,1157969,10,35785681,2015-12-06T13:28:58Z
53744879,singleton,1157969,5,24517980,2014-08-03T15:19:41Z
