id,key,value,type
22840866,name,Aravind Ranade Path,regular
22840866,oneway,yes,regular
22840866,highway,residential,regular
22840866,mr,अरविंद रानडे पथ,name
22841041,name,Rajendra Sinhji Road,regular
22841041,highway,unclassified,regular
22841173,name,Narsimha Chintaman Kelkar Marg,regular
22841173,highway,tertiary,regular
22841173,mr,नरसिंह चिंतामण केळकर मार्ग,name
22841315,embankment,yes,regular
22841315,highway,primary,regular
22841315,name,Old Pune–Mumbai Highway,regular
22841315,mr,जुना पुणे-मुंबई महामार्ग,name
22841315,oneway,yes,regular
22841315,ref,NH60;65,regular
22841645,highway,tertiary,regular
22841645,name,Viman Nagar Road,regular
22841645,oneway,yes,regular
22841860,ref,NH753F,regular
22841860,name,Paud Road,regular
22841860,source,GPS,regular
22841860,highway,trunk,regular
22841860,mr,पौड रस्ता,name
22841860,old,SH60;MSH5,ref
22950636,highway,trunk,regular
22950636,int_ref,AH47,regular
22950636,maxspeed,55,regular
22950636,name,Bypass,regular
22950636,note,rectified to fit Yahoo! imagery and GPS traces,regular
22950636,oneway,yes,regular
22950636,ref,NH48,regular
22950636,old,NH4,ref
22975824,source,Yahoo! imagery,regular
22975824,highway,residential,regular
23017403,source,Yahoo! imagery,regular
23017403,highway,residential,regular
23027952,highway,tertiary,regular
23027952,lanes,2,regular
23027952,maxspeed,40,regular
25954547,name,South Avenue,regular
25954547,oneway,yes,regular
25954547,highway,tertiary,regular
25954547,mr,साउथ अव्हेन्यू,name
27850903,highway,residential,regular
28723896,oneway,yes,regular
28723896,highway,motorway_link,regular
31013602,highway,residential,regular
41447019,highway,residential,regular
41851528,source,GPS,regular
41851528,highway,tertiary,regular
42708545,oneway,yes,regular
42708545,highway,secondary,regular
49830976,name,Chaure Path,regular
49830976,highway,unclassified,regular
49830976,mr,चौरे पथ,name
51163504,access,permissive,regular
51163504,highway,service,regular
52755579,building,school,regular
52875949,highway,primary,regular
53086860,access,yes,regular
53086860,alt_name,Bibwewadi Kondhawa road,regular
53086860,bicycle,yes,regular
53086860,foot,yes,regular
53086860,highway,primary,regular
53086860,lanes,4,regular
53086860,name,Prince Of Wales Drive,regular
53086860,oneway,no,regular
53092822,name,Sadashiv Govind Road,regular
53092822,highway,residential,regular
53153975,highway,unclassified,regular
53201365,highway,tertiary,regular
53202962,highway,tertiary,regular
53349598,name,Army Institute of Physical Training,regular
53349598,landuse,military,regular
53370636,name,Saint Vincent's School,regular
53370636,amenity,school,regular
53572189,name,Bhagwan Tatyasaheb Kawade Marg,regular
53572189,oneway,yes,regular
53572189,highway,primary,regular
53572189,mr,भगवान तात्यासाहेब कवडे मार्ग,name
53572189,maxspeed,50,regular
53744879,name,Bhikardas Maruti Path,regular
53744879,highway,tertiary,regular
53744879,mr,भिकारदास मारुती पथ,name
53745381,name,Harihareshwar Mandir Marg,regular
53745381,highway,residential,regular
53745381,mr,हरिहरेश्वर मंदिर मार्ग,name
53760268,highway,residential,regular
53790865,highway,footway,regular
53791504,highway,residential,regular
53791735,highway,residential,regular
53792225,highway,unclassified,regular
53792781,highway,residential,regular
53836810,highway,tertiary,regular
53836810,lanes,2,regular
53836810,name,Babasaheb Ambedkar Marg,regular
53836810,mr,बाबासाहेब आंबेडकर मार्ग,name
53836810,oneway,yes,regular
53837203,highway,residential,regular
53837531,highway,unclassified,regular
